hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
9077,NaN,0.005300,-44.290561,81.3670,6.280,1.728,G3IV,0.763,Phe
9078,NaN,0.006638,26.918108,74.6269,6.430,2.066,F7.5IV-V,0.514,Peg
9079,NaN,0.008593,59.559679,136.2398,6.180,0.508,G9III-IV,1.032,Cas
9080,NaN,0.012119,45.253334,187.9699,6.360,-0.010,B9p SiEu,-0.047,And
9081,NaN,0.017941,-48.809876,181.8182,5.710,-0.588,G8III,0.911,Phe
9083,NaN,0.022013,49.981558,199.6008,6.220,-0.281,G7II-III,0.970,Cas
9082,NaN,0.022255,-50.337373,166.3894,5.530,-0.576,M2III,1.615,Phe
9084,NaN,0.026616,-77.065724,66.5779,4.780,0.663,K2III,1.254,Oct
9085,NaN,0.026949,61.222801,943.3962,5.580,-4.293,F0III,0.407,Cas
9086,NaN,0.028847,42.367144,374.5318,6.250,-1.617,B9IIIp Mn,-0.042,And
9087,NaN,0.030402,-3.027504,139.2758,5.130,-0.589,B7III-IV,-0.128,Psc
9089,NaN,0.032672,-6.014072,132.4503,4.370,-1.240,M3III,1.631,Psc
9088,NaN,0.036139,27.082256,12.1699,5.800,5.374,G3V,0.690,Peg
9091,NaN,0.038867,-29.720414,154.0832,5.040,-0.899,B4V,-0.150,Scl
9092,NaN,0.040046,8.956824,122.8501,6.330,0.883,A6V,0.182,Psc
9093,NaN,0.041584,8.485463,36.9004,5.700,2.865,F0V,0.315,Psc
9094,NaN,0.043357,66.098966,100000.0000,5.870,-14.130,G8III,1.073,Cas
9095,NaN,0.049301,-20.045882,61.1621,6.250,2.318,F6/F7V,0.526,Cet
9096,NaN,0.052181,-24.145145,203.6660,6.460,-0.085,K1III,1.176,Cet
9097,NaN,0.057143,63.640520,763.3588,6.240,-3.174,B3Ia,0.332,Cas
9098,NaN,0.062330,-17.335988,83.4725,4.550,-0.058,B9IVn,-0.047,Cet
9099,NaN,0.064342,66.712183,265.9574,6.310,-0.814,M4,1.629,Cep
9100,NaN,0.070462,62.287664,100000.0000,5.900,-14.100,A1III,0.274,Cas
9101,NaN,0.072165,-16.529036,90.6618,5.780,0.993,K0III,1.084,Cet
9102,NaN,0.072310,-29.268822,124.8439,6.380,0.898,A1V,0.006,Scl
9103,NaN,0.075033,-10.509523,641.0256,4.990,-4.044,K3Ibvar,1.619,Cet
9106,NaN,0.075148,-72.897321,93.8086,7.330,2.469,F2V,0.444,Tuc
9105,NaN,0.076830,42.092530,386.1004,6.110,-1.824,B9III,0.159,And
9108,NaN,0.078131,-71.436891,175.4386,5.590,-0.631,B8III,-0.100,Tuc
9104,NaN,0.078304,67.166445,92.6784,5.680,0.845,K1III,1.051,Cep
9107,NaN,0.081573,34.659797,39.1850,6.090,3.124,G2V,0.632,And
9109,NaN,0.082220,26.648764,200.0000,6.250,-0.255,K4IIIb,1.368,Peg
2,NaN,0.084395,-0.503035,138.8889,6.320,0.607,G9III:,1.099,Psc
9110,NaN,0.085039,61.313970,221.7295,5.800,-0.929,B8MNp...,-0.067,Cas
3,NaN,0.088928,-5.707618,39.4945,4.610,1.627,K1III,1.029,Psc
4,NaN,0.094989,13.396266,114.2857,5.550,0.260,G5III,0.901,Peg
5,NaN,0.104356,58.436733,21.4777,5.980,4.320,G5V,0.687,Cas
6,NaN,0.105277,-49.075191,25.7136,5.700,3.649,G1IV...,0.519,Phe
7,NaN,0.107370,64.196168,265.9574,5.570,-1.554,B9III,-0.023,Cas
8,NaN,0.110209,29.021502,13.6705,6.070,5.391,K0V,0.752,And
9,NaN,0.113911,-23.107540,39.3856,6.190,3.213,F2IV,0.386,Cet
10,NaN,0.121741,-17.386990,176.0563,6.200,-0.028,A2IV/V,0.133,Cet
11,NaN,0.128920,-2.548679,183.4862,6.430,0.112,B8IIIsp...,-0.146,Psc
12,NaN,0.129693,-22.508560,78.3699,5.930,1.459,A1V,0.141,Cet
13,NaN,0.134303,-33.529326,94.9668,5.670,0.782,K1III,1.119,Scl
14,NaN,0.136693,-2.447711,279.3296,6.180,-1.051,K2III,1.366,Psc
16,NaN,0.138204,-8.824112,98.4252,5.990,1.024,G8III:,1.034,Cet
15,Alpheratz,0.139791,29.090432,29.7442,2.070,-0.297,B9p,-0.038,And
18,NaN,0.142638,-17.578155,578.0347,6.110,-2.700,M0/M1IIICNp,1.664,Cet
17,NaN,0.144710,36.627125,32.4465,6.210,3.654,F8IV,0.504,And
19,NaN,0.147814,25.462985,138.5042,6.240,0.533,K0III,0.976,Peg
22,NaN,0.150672,18.211963,87.4126,5.570,0.862,G9III,1.043,Peg
23,NaN,0.150660,-54.001931,128.3697,6.320,0.778,G4IV...,0.738,Phe
21,Caph,0.152887,59.149780,16.7842,2.280,1.155,F2III-IV,0.380,Cas
20,NaN,0.155525,79.714545,105.4852,6.010,0.894,A7IV,0.203,Cep
24,NaN,0.155851,-27.987928,77.4593,5.420,0.975,F3V,0.414,Scl
25,NaN,0.156836,-45.747426,44.2087,3.880,0.652,K0III,1.013,Phe
26,NaN,0.167278,11.145813,93.6330,5.540,0.683,B9V,-0.064,Psc
30,NaN,0.167293,-82.224047,78.0640,5.290,0.828,K1/K2III,1.049,Oct
29,NaN,0.171908,-5.248588,58.3090,5.840,2.011,K1III,0.973,Psc
27,NaN,0.172012,46.072272,377.3585,5.010,-2.874,F2II,0.405,And
28,NaN,0.174909,57.165494,179.5332,6.740,0.469,B7IV,-0.074,Cas
32,NaN,0.177328,-73.224389,70.4225,6.660,2.421,F3/F5IV+...,0.372,Tuc
31,NaN,0.178565,-12.579897,75.0188,5.840,1.464,K0III,1.000,Cet
33,NaN,0.187739,-15.467977,18.7477,4.890,3.525,F5V,0.487,Cet
34,NaN,0.192894,-27.799737,243.3090,5.410,-1.521,K2III,1.346,Scl
35,NaN,0.195552,-35.133119,21.2766,5.240,3.600,F3/F5V,0.459,Scl
36,NaN,0.199741,48.152396,202.0202,6.180,-0.347,K4III,1.467,And
37,NaN,0.202773,-17.938278,190.8397,5.290,-1.113,K4III,1.478,Cet
38,NaN,0.213957,37.693656,555.5556,6.710,-2.014,B2V,-0.116,And
39,Algenib,0.220598,15.183596,120.0480,2.830,-2.567,B2IV,-0.190,Peg
47,NaN,0.222099,-84.993978,298.5075,5.780,-1.595,M0/M1III,1.710,Oct
40,NaN,0.223312,26.987545,131.4060,6.240,0.647,G0III,0.680,And
41,NaN,0.225240,41.035370,34.9040,5.710,2.996,F0IV,0.331,And
42,NaN,0.228401,-26.022345,396.8254,5.940,-2.053,K5III,1.548,Scl
43,NaN,0.228994,-26.284959,265.2520,6.140,-0.978,K4III,1.490,Scl
44,NaN,0.233967,33.206039,103.1992,6.220,1.152,A1V,0.009,And
46,NaN,0.241008,-7.780532,178.5714,5.130,-1.129,M3IIIvar,1.601,Cet
45,NaN,0.243378,20.206702,112.8668,4.790,-0.473,M2III,1.572,Peg
48,NaN,0.244005,-18.932866,137.1742,4.440,-1.246,M1III,1.640,Cet
51,NaN,0.248476,-9.569571,103.8422,5.770,0.688,B9V,-0.084,Cet
49,NaN,0.248860,22.284225,140.8451,6.250,0.506,A1p,-0.004,Peg
54,NaN,0.249515,-34.904223,194.5525,6.170,-0.275,K3III,1.344,Scl
50,NaN,0.249677,8.820962,77.7605,6.020,1.566,F0IV,0.312,Psc
52,NaN,0.251930,31.535725,286.5330,6.340,-0.946,K5,1.555,And
53,NaN,0.252934,27.283440,135.1351,6.350,0.696,A1Vn,-0.002,And
58,NaN,0.265257,-75.911615,189.3939,6.490,0.103,G8/K0III,0.983,Hyi
57,NaN,0.269126,-31.446394,152.2070,5.660,-0.252,K2III,1.350,Scl
55,NaN,0.270527,76.950755,192.3077,6.350,-0.070,B9Vn,-0.044,Cep
56,NaN,0.272645,43.595049,106.4963,6.120,0.983,A2V,0.068,And
59,NaN,0.276122,8.240154,125.0000,6.120,0.635,G8II-III,0.919,Psc
61,NaN,0.278429,-20.210061,182.8154,6.500,0.190,B6III/IV,-0.108,Cet
64,NaN,0.280064,-78.780154,104.8218,6.780,1.678,F3III,0.451,Hyi
60,NaN,0.282513,61.533185,190.1141,5.740,-0.655,G8III,0.898,Cas
63,NaN,0.284863,38.681636,94.6970,4.610,-0.272,A2V,0.059,And
62,NaN,0.285845,47.947405,343.6426,5.860,-1.821,B7III,-0.079,Cas
66,NaN,0.292417,-19.051092,48.4966,6.460,3.031,F3V,0.386,Cet
65,NaN,0.295295,51.433090,735.2941,6.110,-3.222,O9IIInn,-0.151,Cas
67,NaN,0.296583,1.688727,117.3709,6.190,0.842,K0II,0.937,Psc
69,NaN,0.304791,11.206214,153.8462,6.070,0.135,K0III,1.036,Psc
68,NaN,0.305463,36.785224,41.3223,4.510,1.429,A2V,0.054,And
71,NaN,0.310625,31.517227,166.6667,5.880,-0.229,A0IV,-0.014,And
72,NaN,0.311629,-8.053001,23.2450,6.470,4.638,G0V,0.674,Cet
70,NaN,0.311712,43.791141,202.8398,6.100,-0.436,B8V,-0.074,And
73,NaN,0.311820,-43.235571,112.4859,6.330,1.075,K2III,1.210,Phe
74,NaN,0.323799,-8.823921,84.1751,3.560,-1.066,K2III,1.214,Cet
75,NaN,0.328212,40.729461,175.1313,6.350,0.133,K1III,1.179,And
77,NaN,0.334142,-64.874791,8.5866,4.230,4.561,F9V,0.576,Tuc
76,NaN,0.334769,48.865449,210.9705,6.530,-0.091,A0Vs,0.051,Cas
78,NaN,0.340111,30.935614,159.7444,5.890,-0.127,B7V,-0.098,And
80,NaN,0.343295,8.190271,125.0000,5.380,-0.105,K3III,1.343,Psc
83,NaN,0.344178,-69.624913,97.5610,5.500,0.554,B9V,-0.046,Tuc
79,NaN,0.345978,32.911186,191.9386,5.790,-0.626,K5III,1.595,And
81,NaN,0.348498,10.976901,310.5590,6.570,-0.891,A0V,0.056,Psc
82,NaN,0.352017,37.968603,48.5437,5.160,1.729,F5III,0.442,And
87,NaN,0.357986,-77.426873,174.8252,5.960,-0.253,K3III,1.397,Hyi
84,NaN,0.358665,-28.981469,101.3171,5.180,0.152,K0III,1.006,Scl
85,NaN,0.362853,-20.058024,270.2703,5.610,-1.549,M5/M6Ib/II,1.580,Cet
86,NaN,0.373745,13.482488,153.8462,6.250,0.315,K3III,1.225,Psc
88,NaN,0.381051,-12.209438,20.8638,6.390,4.793,G3V,0.659,Cet
89,NaN,0.386835,-31.035775,172.7116,6.550,0.363,B9IV,-0.060,Scl
90,NaN,0.400542,38.577035,386.1004,10.710,2.776,S66ev,2.080,And
91,NaN,0.404348,52.019914,306.7485,5.580,-1.854,B5IV,-0.110,Cas
94,NaN,0.408236,-2.219064,151.7451,6.080,0.174,K1III,1.216,Psc
93,NaN,0.413193,61.831057,215.0538,5.380,-1.283,B9III,0.008,Cas
96,NaN,0.418445,53.046786,158.2278,5.720,-0.276,B9IV,-0.056,Cas
97,NaN,0.423391,1.939692,144.0922,5.770,-0.023,G5III,0.855,Psc
98,NaN,0.427916,-77.254247,7.4588,2.820,3.457,G2IV,0.618,Hyi
100,NaN,0.436716,-43.679829,23.8095,3.930,2.046,A7V,0.175,Phe
99,Ankaa,0.438056,-42.305981,25.9740,2.400,0.327,K0III...,1.083,Phe
101,NaN,0.443726,-0.049533,138.3126,6.160,0.456,G8III,0.893,Cet
102,NaN,0.454085,-25.547170,176.0563,5.990,-0.238,K0III,1.022,Scl
105,NaN,0.465472,-33.007167,138.5042,4.860,-0.847,M2/M3III,1.634,Scl
103,NaN,0.467475,17.893125,162.0746,5.010,-1.039,M3IIIvar,1.584,Psc
106,NaN,0.470195,16.445065,233.6449,6.050,-0.793,K5III,1.580,Psc
104,NaN,0.470454,44.394452,86.6551,5.180,0.491,A2Vs,0.043,And
107,NaN,0.472236,10.189848,36.5497,6.050,3.236,F6Vawvar,0.447,Psc
108,NaN,0.472528,-20.335051,32.1958,6.440,3.901,G3V,0.594,Cet
109,NaN,0.474027,-39.915002,115.2074,5.420,0.113,M0III,1.556,Phe
111,NaN,0.478632,-50.532859,125.3133,6.260,0.770,K0III,1.090,Phe
110,NaN,0.482406,36.899694,162.0746,6.280,0.231,G5III,0.916,And
116,NaN,0.496945,-32.115982,182.4818,6.590,0.284,K2/K3III,1.351,Scl
115,NaN,0.497748,-14.864109,42.7533,6.150,2.995,F2/F3V,0.388,Cet
117,NaN,0.500655,-3.957332,173.9130,5.720,-0.482,M0III,1.545,Cet
114,NaN,0.502045,29.751557,62.7746,5.200,1.211,A7III,0.271,And
113,NaN,0.505534,59.977554,235.8491,5.940,-0.923,B9IIIn,-0.003,Cas
118,NaN,0.506293,-23.787680,53.1067,5.170,1.544,A3V,0.128,Cet
120,NaN,0.507242,-48.214910,43.0849,5.670,2.498,F2V,0.367,Phe
119,NaN,0.507729,-40.939586,129.5337,6.180,0.618,F2III,0.315,Phe
112,NaN,0.515110,77.019404,38.5060,6.180,3.252,K0IV,0.883,Cas
125,NaN,0.523594,-48.803514,52.9661,4.760,1.140,A0V,0.018,Phe
121,NaN,0.523670,66.519617,233.1002,6.180,-0.658,B6V,-0.100,Cas
122,NaN,0.523787,33.581642,116.1440,5.880,0.555,K1III...,1.133,And
126,NaN,0.525725,-62.958218,41.4079,4.360,1.275,B9V,-0.064,Tuc
127,NaN,0.525946,-62.965561,51.6529,4.530,0.965,A2V,0.147,Tuc
124,NaN,0.528105,52.839526,116.8224,5.590,0.252,K2III,1.163,Cas
123,NaN,0.529539,54.522289,115.7407,4.740,-0.577,B8Vn,-0.098,Cas
132,NaN,0.539939,6.955463,80.9717,5.690,1.148,B9.5V,-0.014,Psc
128,NaN,0.540777,43.494794,220.7506,6.690,-0.030,A1Vn,-0.006,And
133,NaN,0.542935,27.580759,296.7359,6.680,-0.682,A2IV,0.084,And
131,NaN,0.543189,20.294316,80.0000,5.380,0.865,K0III,1.069,Psc
136,NaN,0.545512,-63.031500,45.5581,5.070,1.777,A0V,0.038,Tuc
134,NaN,0.546969,28.280241,158.4786,6.260,0.260,G8II,0.965,And
130,NaN,0.549997,62.931783,100000.0000,4.170,-15.830,B1Ia,0.130,Cas
135,NaN,0.552879,54.894985,114.1553,5.930,0.643,K0III,1.037,Cas
129,NaN,0.555340,70.981843,151.7451,6.410,0.504,A0Vn,-0.007,Cas
139,NaN,0.556463,-71.266246,130.0390,6.110,0.540,A7IV,0.265,Tuc
138,NaN,0.561401,-29.558278,165.0165,5.550,-0.538,K1III,1.262,Scl
137,NaN,0.573583,66.750351,189.7533,6.470,0.079,B9III,-0.049,Cas
140,NaN,0.574374,-52.373090,25.4842,5.570,3.539,F3IV-V,0.472,Phe
141,NaN,0.582046,13.371137,109.6491,6.390,1.190,K0,1.136,Psc
142,NaN,0.587466,-3.592846,21.2540,5.200,3.563,F8V...,0.567,Cet
143,NaN,0.592454,-0.505610,54.4959,5.940,2.258,F5IV,0.444,Cet
148,NaN,0.592591,-54.821873,70.7714,6.040,1.791,K0IV,1.001,Phe
147,NaN,0.594767,-48.000907,34.8189,5.510,2.801,F6V,0.461,Phe
145,NaN,0.598557,13.207067,37.5657,6.320,3.446,F7V,0.517,Psc
150,NaN,0.600877,-14.973035,115.3403,6.450,1.140,K0III,1.063,Cet
151,NaN,0.601906,-22.842333,48.8759,6.060,2.615,A5m...,0.297,Cet
144,NaN,0.602306,54.168450,164.4737,5.080,-1.000,B7III,-0.098,Cas
149,NaN,0.605583,27.254763,217.8649,6.510,-0.181,B8IIIMNp...,-0.070,And
146,NaN,0.607595,60.326215,100000.0000,5.780,-14.220,A4III,0.294,Cas
160,NaN,0.610449,-65.124445,211.8644,6.430,-0.200,K2/K3III,1.260,Tuc
152,NaN,0.612903,44.488587,189.0359,5.140,-1.243,K5III,1.587,And
155,NaN,0.613142,15.231725,318.4713,5.890,-1.625,B2.5IV,-0.146,Psc
154,NaN,0.614680,33.719344,183.4862,4.340,-1.978,B5V,-0.123,And
153,NaN,0.616188,53.896909,181.8182,3.690,-2.608,B2IV,-0.196,Cas
156,NaN,0.618664,24.014136,112.7396,6.180,0.920,K2III,1.170,And
162,NaN,0.621727,-54.393819,146.8429,6.400,0.566,K0II/IIICN,0.995,Phe
159,NaN,0.622393,-24.767267,15.4012,5.570,4.632,K1V+...,0.715,Cet
157,NaN,0.622561,35.399501,259.7403,5.450,-1.623,G5III,0.886,And
161,NaN,0.625136,3.135351,223.2143,6.430,-0.314,K4III,1.339,Psc
163,NaN,0.642602,29.311751,50.2260,4.340,0.835,G5III...,0.871,And
169,NaN,0.644624,-73.137618,116.6861,6.870,1.535,A1m...,0.114,Tuc
164,NaN,0.652748,49.354589,641.0256,5.450,-3.584,K5III,1.644,Cas
165,NaN,0.655462,30.861024,32.3520,3.270,0.720,K3III...,1.268,And
166,NaN,0.656063,21.250472,11.0595,5.880,5.661,K0V,0.850,Psc
158,NaN,0.663247,82.493762,33.2557,6.380,3.771,F6V:,0.551,Cep
171,NaN,0.664428,-44.796293,94.1620,6.000,1.131,K1IIICN...,1.142,Phe
167,NaN,0.665436,21.438495,127.0648,5.360,-0.160,F3V...,1.160,Psc
170,NaN,0.666051,-33.961449,40.1606,6.680,3.661,F7V,0.519,Scl
176,NaN,0.673659,-59.454604,24.9563,5.890,3.904,G1V,0.564,Tuc
172,NaN,0.674606,-16.516676,146.4129,6.490,0.662,G8III,0.910,Cet
168,Shedir,0.675116,56.537331,69.9790,2.240,-1.985,K0II-IIIvar,1.170,Cas
173,NaN,0.675771,-23.804876,28.8850,6.140,3.837,G3/G5V,0.718,Cet
174,NaN,0.678437,-4.351841,144.5087,5.900,0.101,K0III,1.091,Cet
175,NaN,0.685330,39.458664,108.8139,5.300,0.117,G8III,0.891,And
180,NaN,0.688766,-46.085007,75.3580,4.590,0.204,G8III,0.953,Phe
178,NaN,0.693343,24.629008,126.7427,6.060,0.545,A7m,0.298,And
183,NaN,0.696210,-56.501315,67.0241,5.720,1.589,Ap,0.131,Phe
177,NaN,0.700953,66.147592,158.4786,5.830,-0.170,G9III-IV,1.042,Cas
179,NaN,0.701081,50.512526,438.5965,4.800,-3.410,B2.5V,-0.105,Cas
187,NaN,0.707869,-65.468030,41.0341,5.380,2.314,F6V,0.515,Tuc
181,NaN,0.708618,58.753411,336.7003,6.180,-1.456,B9.5III,-0.004,Cas
186,NaN,0.711609,-60.262807,70.8215,5.990,1.739,K5III,1.318,Tuc
185,NaN,0.711914,-38.463483,145.1379,6.050,0.241,B9.5V,-0.024,Scl
191,NaN,0.722567,-57.463060,75.5287,4.360,-0.031,A0IV,0.024,Phe
184,NaN,0.724466,47.024546,53.6769,4.950,1.301,A5V,0.170,Cas
188,Diphda,0.726490,-17.986605,29.5334,2.040,-0.312,K0III,1.019,Cet
190,NaN,0.730580,-12.011813,56.4016,6.010,2.254,K1III,1.107,Cet
194,NaN,0.736500,-10.609550,71.6332,4.770,0.494,K0IIIvar,0.998,Cet
195,NaN,0.736683,-38.421686,103.8422,5.900,0.818,K1III,1.144,Scl
189,NaN,0.740612,47.863984,191.2046,5.660,-0.747,B5V...,-0.113,Cas
199,NaN,0.742107,-62.497591,87.6424,6.060,1.346,F5III/IV,0.446,Tuc
193,NaN,0.745420,48.284364,215.5172,4.480,-2.187,B5III,-0.069,Cas
197,NaN,0.745666,-22.006135,26.7451,5.220,3.084,F0V,0.350,Cet
198,NaN,0.749187,-42.676558,64.3915,5.940,1.896,A7V,0.297,Phe
202,NaN,0.749959,-53.714895,46.5983,6.150,2.808,F7III,0.524,Phe
196,NaN,0.754774,55.221396,98.8142,5.410,0.436,A2Vs,0.022,Cas
201,NaN,0.756702,-4.629160,253.8071,6.150,-0.873,M0III,1.652,Cet
203,NaN,0.757969,-12.880810,30.9981,6.150,3.693,G2V,0.603,Cet
192,NaN,0.760862,74.988073,93.0233,5.640,0.797,A2IV,0.078,Cas
206,NaN,0.761585,-16.424220,89.0472,6.470,1.722,F0IV,0.314,Cet
209,NaN,0.762650,-47.551985,15.1584,5.800,4.897,G5IV,0.635,Phe
205,NaN,0.769669,44.861497,131.0616,6.030,0.443,B9.5IIIMNp.,-0.063,And
210,NaN,0.769929,-22.522097,93.2836,5.490,0.641,G8/K0III,0.978,Cet
204,NaN,0.770847,55.305381,161.8123,6.510,0.465,A2III,0.181,Cas
211,NaN,0.775822,15.475504,238.0952,5.360,-1.524,M4III,1.559,Psc
200,NaN,0.777313,69.325408,40.7498,6.390,3.339,F3V,0.424,Cas
207,NaN,0.778462,59.574539,934.5794,6.410,-3.443,G0Ib,1.081,Cas
213,NaN,0.783738,11.973849,86.8056,5.510,0.817,G8II,0.987,Psc
214,NaN,0.787118,19.578702,100.6036,6.110,1.097,F0Vn,0.270,Psc
215,NaN,0.788981,24.267178,58.0046,4.080,0.263,K1II,1.100,And
216,NaN,0.789898,6.740956,141.2429,5.980,0.230,G8III,0.941,Psc
218,NaN,0.795339,-18.061339,108.9325,5.700,0.514,K3III,1.300,Cet
208,NaN,0.796119,74.847573,236.4066,5.420,-1.448,B8III,-0.066,Cas
217,NaN,0.798562,20.925346,57.0451,6.510,2.729,F8V,0.521,Psc
220,NaN,0.800296,-21.722492,105.1525,5.570,0.461,B9V,-0.058,Cet
212,NaN,0.802487,72.674482,61.2370,5.860,1.925,K0IV,1.010,Cas
221,NaN,0.804836,7.299928,177.6199,5.920,-0.327,G8III,1.104,Psc
222,96 G. Psc,0.806382,5.280615,7.4549,5.740,6.378,K2V,0.890,Psc
236,NaN,0.809777,-74.923438,64.9351,5.090,1.028,K5III,1.345,Hyi
224,NaN,0.811373,7.585079,95.4198,4.440,-0.458,K5III,1.500,Psc
223,NaN,0.813892,50.968168,126.2626,4.900,-0.606,B9III,-0.091,Cas
229,NaN,0.815758,-46.697648,129.5337,6.280,0.718,G8III,0.897,Phe
225,NaN,0.816308,16.940644,23.4522,5.070,3.219,F8V...,0.502,Psc
219,NaN,0.818260,57.815187,5.9531,3.460,4.586,G0V SB,0.587,Cas
228,NaN,0.820540,-24.136672,57.9039,5.900,2.086,K0III,0.944,Cet
227,NaN,0.823782,-13.561274,85.1064,5.590,0.940,K3III,1.325,Cet
232,NaN,0.825953,-23.362144,234.1920,6.270,-0.578,A3IV,0.132,Cet
226,NaN,0.830234,41.078911,189.3939,4.530,-1.857,B5V SB,-0.136,And
230,NaN,0.831433,27.710286,88.5740,5.550,0.813,F5III+...,0.398,Psc
239,NaN,0.834379,-43.394921,108.5776,6.490,1.311,A9/F0III,0.286,Phe
235,NaN,0.835443,-10.644326,15.7530,5.170,4.183,F7IV-V,0.514,Cet
234,NaN,0.838403,45.002258,100.3009,6.130,1.123,A0p...,0.043,And
242,NaN,0.844768,-50.986816,74.2390,5.240,0.887,F2III,0.356,Phe
233,NaN,0.845442,64.247549,196.0784,5.350,-1.112,A4V comp SB,0.528,Cas
238,NaN,0.849263,51.508032,67.2948,6.380,2.240,F2IV,0.307,Cas
237,NaN,0.854551,61.805494,100000.0000,6.040,-13.960,K5Ib,1.880,Cas
243,NaN,0.855090,3.385020,137.9310,6.390,0.692,K0III,1.069,Psc
241,NaN,0.859386,51.571427,306.7485,6.220,-1.214,B9.5V,0.032,Cas
245,NaN,0.864490,-43.709030,95.6023,6.890,1.988,F2/F3V,0.362,Phe
252,NaN,0.873477,-69.503764,63.2911,6.670,2.663,F7IV/V,0.518,Tuc
247,NaN,0.877951,-24.005844,171.2329,5.470,-0.698,K1III,1.275,Cet
246,NaN,0.881493,38.548831,184.8429,6.700,0.366,A2V,0.028,And
248,NaN,0.883471,-1.144260,179.8561,4.780,-1.495,M0III,1.550,Cet
244,NaN,0.884511,61.123970,18.7441,4.800,3.436,F8V,0.540,Cas
251,NaN,0.886793,-24.776876,73.5835,6.440,2.106,F3V,0.439,Cet
249,NaN,0.891173,37.418209,107.8749,6.070,0.905,K3III:,1.139,And
257,NaN,0.893839,-62.871352,218.3406,5.730,-0.966,M4III,1.574,Tuc
250,NaN,0.896547,52.689293,88.4173,6.270,1.537,A5m,0.191,Cas
255,NaN,0.904887,-8.740662,131.4060,6.150,0.557,G5IV,0.911,Cet
254,NaN,0.909785,19.188417,108.1081,5.800,0.631,A1Vn,-0.016,Psc
240,NaN,0.914667,83.707435,87.7193,5.590,0.875,A4V,0.105,Cep
258,NaN,0.916139,23.628335,37.9795,5.460,2.562,K1IV,1.012,And
253,NaN,0.916715,58.972698,100.7049,4.830,-0.185,K2III,1.216,Cas
270,NaN,0.916751,-69.527084,68.0272,5.450,1.287,G7III,1.095,Tuc
256,NaN,0.918114,48.678520,207.4689,6.280,-0.305,M2.5IIIa,1.681,Cas
259,NaN,0.920742,24.557062,173.9130,6.190,-0.012,M4III,1.546,Psc
263,NaN,0.928444,-7.347149,184.5018,5.880,-0.450,K5III,1.520,Cet
268,NaN,0.932093,-27.775839,292.3977,6.110,-1.220,M1/M2III,1.674,Scl
262,NaN,0.932920,27.209381,77.7605,6.080,1.626,A5IV,0.133,Psc
267,NaN,0.933747,-11.266526,168.9189,5.350,-0.788,K4III,1.505,Cet
260,NaN,0.936931,57.996557,198.8072,6.200,-0.292,K3III,1.376,Cas
265,NaN,0.944432,59.181056,61.2745,4.620,0.684,G8III-IV,0.957,Cas
264,Cih,0.945143,60.716740,168.3502,2.150,-3.981,B0IV:evar,-0.046,Cas
269,NaN,0.945885,38.499345,39.7772,3.860,0.862,A5V,0.130,And
266,NaN,0.946377,60.362836,165.0165,5.560,-0.528,B8V,-0.054,Cas
261,NaN,0.948624,68.775657,64.8929,6.390,2.329,F0m,0.375,Cas
271,NaN,0.953445,23.417648,70.4225,4.400,0.161,G8III-IV,0.940,And
272,NaN,0.961012,45.839379,134.0483,6.100,0.464,K2III,1.028,And
274,NaN,0.963931,28.992217,198.8072,5.440,-1.052,G6III,1.076,Psc
276,NaN,0.965142,13.695865,148.5884,6.300,0.440,G8III,0.895,Psc
275,NaN,0.970615,33.950885,56.3698,5.990,2.235,K0,1.000,And
277,NaN,0.971915,21.404495,129.7017,6.470,0.905,A2V,0.089,Psc
281,NaN,0.972834,-60.696239,171.2329,6.230,0.062,Am,0.096,Tuc
273,NaN,0.975285,66.351793,107.4114,5.970,0.815,A0III,-0.008,Cas
280,NaN,0.976766,-29.357449,238.0952,4.300,-2.584,B7IIIp,-0.154,Scl
279,NaN,0.978852,-11.379975,98.0392,5.620,0.663,G7III,0.949,Cet
284,NaN,0.997135,6.483225,332.2259,6.140,-1.467,M2III,1.654,Psc
282,NaN,1.000988,44.713243,119.0476,5.690,0.311,B9.5Vn,-0.010,And
278,NaN,1.008587,70.982988,109.4092,6.400,1.205,A4IV,0.135,Cas
288,NaN,1.021740,-38.916527,157.4803,5.590,-0.396,K1III,1.185,Scl
295,NaN,1.033838,-57.002389,120.6273,6.120,0.713,G8III,0.935,Phe
287,NaN,1.038463,51.034938,226.2443,6.480,-0.293,A3V,0.122,Cas
293,NaN,1.040674,-31.552005,71.2251,5.500,1.237,A1/A2IV,0.083,Scl
304,NaN,1.045250,-65.456102,265.9574,6.250,-0.874,M2III,1.634,Tuc
291,NaN,1.046971,31.804263,132.9787,5.500,-0.119,B9.5V,-0.043,Psc
299,NaN,1.046997,-46.397311,73.0994,5.390,1.070,G8III,0.900,Phe
290,NaN,1.048407,41.345157,107.2961,5.950,0.797,A5m,0.161,And
294,NaN,1.049058,7.890135,55.7414,4.270,0.539,K0III,0.952,Psc
289,NaN,1.050423,47.376158,96.0615,6.460,1.547,A9V,0.248,And
296,NaN,1.050705,-4.836601,102.2495,5.400,0.352,K0III-IV,1.106,Cet
300,NaN,1.054918,-29.525848,130.0390,6.280,0.710,G8IIICN...,0.932,Scl
292,NaN,1.060280,61.074823,613.4969,5.920,-3.019,F0II,0.512,Cas
301,NaN,1.063619,1.366846,60.1323,6.060,2.164,F1V,0.271,Cet
